month,Albania,Austria,Belgium,Bulgaria,Croatia,Cyprus,Czechia,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Italy,Kosovo,Latvia,Lithuania,Luxembourg,Malta,Montenegro,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland
2022-03,11.8,2.8,4.0,7.5,2.0,-0.0,16.4,4.3,4.6,5.5,0.8,6.6,1.7,6.6,13.3,-6.2,-6.5,2.8,8.7,6.0,1.2,9.8,3.7,4.0,9.0,-11.1,6.8,-1.3,10.6,8.9,1.1,-8.5,3.0,2.8,-2.2
2022-04,13.0,2.9,4.9,6.6,4.1,-1.4,15.9,4.4,5.1,6.3,1.7,3.2,2.5,7.8,13.6,-4.6,-5.6,2.6,8.5,7.9,2.0,13.3,7.0,2.0,10.7,-12.8,6.3,-0.5,11.7,10.4,2.5,-9.7,3.4,2.0,-1.5
2022-05,13.6,0.6,1.8,11.0,3.5,2.3,19.5,3.8,11.1,9.6,2.3,8.0,3.9,8.1,12.5,-6.2,-5.3,4.1,12.3,7.1,1.3,14.9,7.7,4.6,11.1,-7.9,8.4,3.0,12.5,12.4,6.3,-7.4,3.8,5.4,-2.7
2022-06,14.5,3.7,6.0,13.6,7.1,3.1,22.5,8.5,9.0,9.1,2.8,7.8,4.6,11.6,13.0,-4.1,-4.8,4.9,18.7,12.2,0.7,14.1,8.4,5.8,14.3,-5.9,9.0,4.5,14.1,13.3,5.2,-7.6,4.5,6.2,-2.1
2022-07,14.9,6.3,8.9,18.3,6.2,6.2,25.7,9.0,10.1,11.2,3.6,7.7,5.9,18.0,13.2,-1.8,-4.2,5.2,21.8,10.4,3.1,13.4,13.8,7.2,13.0,1.9,10.0,4.1,15.2,13.7,8.9,-6.8,5.5,8.3,-3.3
2022-08,15.4,7.4,7.2,20.0,5.1,6.7,22.8,10.0,15.0,10.1,4.7,12.2,6.4,24.2,14.0,-0.0,-3.2,6.6,20.3,12.2,4.2,12.5,12.3,8.0,13.8,-1.7,12.7,6.6,16.2,14.1,11.8,-6.3,6.4,7.3,-1.3
2022-09,15.2,7.6,7.4,22.9,8.1,4.6,24.3,10.3,22.1,12.2,4.8,15.6,5.8,23.4,13.9,-0.4,-3.6,8.8,23.8,13.1,2.2,13.6,12.9,8.6,14.7,-3.8,13.7,5.7,18.2,15.1,12.4,-4.2,6.3,10.5,-2.4
2022-10,14.8,8.4,10.0,24.2,11.8,5.4,22.9,9.1,24.1,15.0,5.8,16.9,5.7,28.6,13.7,-0.2,-2.6,11.4,25.1,15.4,5.6,17.9,14.0,9.9,17.6,-2.2,16.0,8.9,19.6,15.5,12.7,-2.7,6.8,10.7,-1.2
2022-11,15.9,6.9,9.4,26.4,12.0,3.8,29.0,8.6,22.6,13.6,6.6,14.9,7.4,32.0,14.5,-0.5,-2.1,11.4,23.0,16.9,5.9,19.0,13.6,10.8,19.6,-7.7,17.4,2.1,21.0,17.2,13.8,-3.1,7.3,7.9,-1.2
2022-12,17.1,8.8,11.5,25.8,9.4,3.9,25.7,9.1,24.4,9.5,7.3,15.0,7.7,33.8,16.5,0.4,-0.2,13.5,23.9,19.8,6.8,19.6,13.3,13.5,19.5,-15.9,17.9,-2.8,22.1,17.8,15.3,-4.2,8.0,9.5,0.7
2023-01,20.2,8.8,16.1,29.7,13.4,4.2,32.7,9.7,26.5,20.1,8.5,15.1,8.6,39.9,17.4,1.8,0.1,14.2,27.7,24.9,8.8,20.1,19.1,15.6,19.0,0.9,20.6,10.2,23.6,18.3,22.6,-1.4,9.7,19.1,0.8
2023-02,19.0,9.0,12.7,33.6,13.5,7.7,35.0,15.1,27.3,21.2,10.2,17.2,9.3,41.2,22.1,3.3,-0.4,16.7,29.1,24.9,9.6,21.5,17.0,15.9,21.2,-2.2,22.2,8.0,24.8,21.2,23.4,-0.6,13.8,19.0,2.2
2023-03,21.3,11.7,17.7,34.7,15.0,10.9,34.2,17.1,28.0,20.9,13.4,21.9,9.3,44.6,22.7,4.2,0.4,16.4,30.1,27.9,12.0,24.2,9.2,19.0,21.9,-13.5,24.5,9.4,25.8,22.9,26.1,-0.3,15.8,22.8,3.7
2023-04,19.6,13.0,18.7,34.7,15.2,11.4,31.9,16.9,29.4,17.7,15.3,23.0,11.0,50.0,22.9,6.9,1.4,16.0,31.5,26.3,13.4,26.8,10.0,16.8,18.7,-9.2,26.3,11.0,27.4,23.6,27.1,-3.4,17.4,21.1,4.2
2023-05,20.3,11.6,16.1,36.9,18.2,14.1,32.3,15.8,30.9,19.2,16.4,25.1,13.3,50.1,23.9,7.3,0.4,17.4,28.7,27.7,14.4,26.9,12.5,20.7,18.7,1.5,27.8,12.2,28.9,25.6,26.9,2.8,16.2,23.1,3.5
2023-06,20.5,16.1,20.1,37.5,21.7,14.0,34.7,17.3,29.1,23.7,16.6,27.2,13.5,52.9,25.2,7.0,1.4,17.8,28.3,29.9,13.7,27.7,16.8,21.8,20.3,3.8,27.6,15.2,30.1,25.9,28.9,3.1,17.4,22.4,4.5
2023-07,20.4,17.0,23.5,37.1,19.8,15.2,36.9,20.1,29.2,27.3,17.2,26.5,14.7,54.3,26.3,7.8,1.8,18.9,31.6,33.3,15.2,30.4,20.1,22.2,20.1,7.8,28.1,18.3,30.9,26.6,28.9,3.4,18.0,28.2,4.4
2023-08,21.4,18.1,18.2,35.6,22.8,16.7,40.2,18.4,30.8,20.6,17.9,27.8,15.2,55.9,27.5,9.2,2.3,19.5,32.8,34.0,17.1,33.8,28.0,22.0,20.9,5.1,27.1,19.1,31.4,26.8,29.2,4.0,18.7,28.8,5.1
2023-09,22.1,16.0,18.1,36.3,20.9,18.1,33.2,20.0,31.8,21.4,16.9,29.2,13.1,55.7,28.8,10.3,1.1,19.9,29.5,33.2,16.0,34.9,27.9,21.4,21.0,3.2,27.7,17.9,31.3,27.1,28.6,2.9,17.7,26.2,3.6
2023-10,27.5,19.3,18.0,35.5,19.9,18.8,40.3,16.2,30.0,20.8,17.0,30.7,15.4,59.0,30.2,9.4,1.8,20.6,31.4,35.0,18.2,33.8,26.1,20.3,23.5,2.4,28.2,18.9,31.2,27.5,31.9,3.5,17.9,26.9,4.3
2023-11,26.4,18.3,20.2,34.8,18.7,16.6,43.8,17.1,34.8,24.3,16.8,29.7,17.9,57.4,30.1,9.2,1.9,20.6,29.4,35.1,18.8,35.6,25.2,19.4,20.5,3.1,28.8,13.4,31.9,27.8,34.6,2.9,18.2,27.5,2.2
2023-12,27.3,20.3,21.0,36.9,18.1,13.2,30.4,12.3,28.6,18.0,17.2,28.4,18.1,56.6,30.3,9.1,2.0,19.9,30.2,25.3,19.2,35.8,27.4,21.7,21.1,-5.8,29.9,11.5,32.1,27.7,33.8,1.2,17.6,26.7,3.5
2024-01,28.4,19.7,22.7,40.0,21.5,12.4,34.0,17.5,38.1,24.3,16.9,31.4,18.2,59.7,29.7,11.1,2.3,23.0,31.3,32.7,20.5,37.9,29.8,21.8,19.5,8.3,32.3,17.8,41.0,29.4,36.2,4.0,19.7,27.6,4.1
2024-02,29.8,19.4,19.7,43.6,20.3,20.0,33.0,17.2,36.9,24.2,17.1,32.3,17.4,62.1,29.3,11.2,1.3,21.6,34.2,29.3,20.6,41.8,29.4,22.7,20.1,-0.9,31.6,9.5,42.9,31.0,29.5,4.8,25.1,27.3,4.3
2024-03,30.5,22.8,24.3,44.9,24.0,20.0,30.0,19.8,36.4,25.3,18.9,35.0,18.5,62.2,32.3,12.1,2.1,23.2,30.6,29.6,25.3,42.1,29.0,23.7,22.6,-7.4,32.9,15.7,44.0,32.5,30.0,6.0,26.2,29.6,5.7
2024-04,30.6,20.7,22.4,44.9,29.6,22.2,44.0,21.7,36.0,22.9,20.5,38.7,19.7,64.3,32.3,14.6,1.9,23.4,35.6,33.8,24.9,45.9,32.0,23.3,23.2,7.3,34.8,22.1,44.2,34.8,31.5,6.6,26.9,30.7,5.5
2024-05,30.1,20.1,22.6,46.3,28.4,21.0,47.2,22.3,45.0,29.6,21.2,39.3,22.4,65.4,38.3,12.5,2.3,23.3,36.3,48.6,26.4,48.2,32.8,26.3,25.2,4.5,37.1,23.1,45.2,37.3,30.3,5.5,26.9,36.3,6.4
2024-06,30.5,22.1,24.7,45.6,40.0,23.5,47.3,26.4,52.7,29.3,21.4,41.5,30.1,67.4,41.0,12.2,2.7,26.7,39.8,53.9,25.0,49.7,40.2,27.0,25.5,7.5,40.6,24.3,46.4,42.9,36.9,5.6,31.6,37.3,8.1
2024-07,30.6,21.2,28.1,46.5,50.6,31.4,58.8,30.2,50.0,32.8,22.0,40.5,34.2,70.5,44.7,14.7,3.5,27.4,40.6,55.6,24.1,50.3,44.0,30.6,27.9,23.4,47.3,29.6,48.0,52.2,42.6,8.2,34.2,43.0,8.1
2024-08,30.7,21.9,25.9,48.3,51.9,31.1,66.1,37.0,53.6,33.9,25.5,39.3,33.1,72.7,44.7,18.8,5.8,29.3,43.7,61.0,26.0,50.4,49.0,34.3,28.2,20.6,52.1,33.4,50.1,64.2,46.1,12.0,38.7,44.0,8.5
2024-09,31.1,23.2,24.4,47.6,53.9,31.0,62.5,44.5,54.1,40.3,26.7,41.8,31.9,71.3,44.8,18.8,6.6,30.9,50.2,61.1,21.6,51.4,47.2,30.1,30.4,11.1,53.5,34.1,50.1,72.0,43.6,12.0,42.1,50.9,10.4
2024-10,31.1,24.1,25.2,50.7,50.9,29.1,60.5,43.3,55.3,47.9,27.5,41.9,30.9,75.1,47.0,22.9,10.3,31.3,55.3,52.5,23.8,53.7,47.3,32.8,31.9,18.2,54.6,33.2,51.2,73.6,52.0,13.1,42.9,54.8,10.9
2024-11,31.3,23.5,26.8,51.3,50.8,27.6,66.5,40.2,64.2,49.4,28.1,42.5,28.0,78.3,47.6,21.8,10.6,31.5,54.3,59.0,23.2,56.2,45.8,33.1,30.5,18.6,55.0,31.3,53.0,72.3,54.5,21.7,44.1,57.3,11.4
2024-12,31.5,24.8,26.8,55.3,52.7,22.2,67.0,37.1,74.9,26.5,29.2,42.5,29.1,72.5,49.9,20.7,11.1,31.0,57.0,45.9,23.0,58.2,46.4,35.1,26.4,4.0,56.2,27.0,52.9,72.2,46.1,18.8,45.7,57.0,12.9
2025-01,30.6,29.8,33.1,61.0,58.9,29.0,71.3,41.7,79.7,54.9,28.7,41.9,36.6,81.2,49.6,26.9,11.7,29.8,60.0,60.7,23.8,56.5,62.0,42.6,28.5,25.6,58.1,39.6,54.2,76.9,50.2,24.5,49.4,54.6,15.1
2025-02,32.0,30.7,31.6,65.2,56.1,27.2,73.7,40.9,80.4,56.4,30.1,52.4,36.9,85.5,51.4,26.6,11.0,32.8,60.4,73.6,25.6,63.6,66.2,46.8,33.5,23.1,67.1,37.8,57.8,85.0,48.6,21.6,55.2,59.5,16.3
2025-03,32.0,40.4,40.1,71.5,56.5,26.6,74.0,45.7,79.8,57.2,31.7,58.1,41.8,91.5,53.9,28.6,12.0,35.1,79.5,78.4,31.5,63.8,67.5,50.1,32.0,22.2,73.6,42.1,68.8,89.2,49.4,28.7,57.2,67.1,17.4
2025-04,31.5,43.6,40.1,75.0,55.1,26.5,69.5,45.2,80.9,52.5,39.5,59.8,45.5,98.3,58.8,28.8,14.2,36.8,83.2,95.6,30.0,64.7,68.2,47.5,38.6,16.9,84.3,43.9,75.2,92.6,48.5,27.6,57.5,71.0,19.2
2025-05,32.0,36.2,39.6,79.7,60.9,31.9,81.7,47.3,99.9,63.4,42.9,68.0,51.6,103.9,62.6,31.6,14.6,39.0,81.6,102.9,33.0,66.3,65.8,50.5,51.7,34.0,90.6,47.4,79.5,92.7,48.4,32.2,58.7,74.5,20.2
2025-06,32.0,41.3,40.9,82.1,63.8,33.6,86.1,50.8,101.3,56.5,43.2,66.2,58.2,102.2,63.9,31.8,16.1,42.7,85.0,97.0,34.5,68.0,67.1,54.9,64.1,31.2,97.7,49.7,86.8,94.0,50.4,30.9,60.0,76.2,20.1
2025-07,32.7,41.5,43.1,85.6,64.6,36.1,81.1,56.3,101.6,68.0,43.3,67.0,61.9,106.2,67.1,33.3,17.1,42.1,81.6,99.3,36.4,66.9,68.6,56.2,63.0,42.6,102.3,51.1,90.1,95.8,51.6,31.7,63.1,82.0,22.9
2025-08,32.2,44.8,42.6,85.0,65.5,40.1,83.1,54.0,106.9,56.7,44.0,69.4,64.0,105.8,67.0,38.3,19.1,46.5,86.7,108.5,37.3,67.3,70.9,57.3,60.5,36.4,104.9,53.3,100.0,96.1,53.8,33.5,64.8,81.3,24.4
2025-09,32.7,44.4,40.9,87.5,65.6,41.0,80.7,51.2,110.7,60.9,44.1,72.2,61.1,105.8,69.3,35.3,18.4,47.1,86.2,106.2,36.4,69.2,71.4,54.9,63.1,36.1,101.5,52.5,100.2,89.5,48.4,30.9,64.3,74.6,24.1
2025-10,32.7,40.0,40.4,87.5,60.5,40.0,89.5,46.4,108.5,58.8,44.0,73.3,58.6,104.5,71.4,33.9,21.3,49.7,83.6,98.2,37.9,72.2,72.4,54.4,59.6,34.6,106.0,49.8,103.9,88.1,48.9,33.2,65.9,80.4,22.8
2025-11,32.5,41.6,41.7,88.8,61.9,40.2,85.9,43.3,109.9,60.3,44.7,70.6,57.3,97.6,71.0,35.8,20.7,50.7,80.8,100.3,39.3,73.6,72.9,54.3,62.2,24.1,104.5,46.0,106.5,87.4,48.6,29.2,65.0,77.2,22.5
2025-12,33.4,42.2,42.7,90.3,54.7,36.9,78.6,42.8,104.4,50.8,45.0,69.8,54.9,96.2,70.6,35.4,21.4,49.1,82.1,97.3,40.0,74.7,74.7,54.4,59.0,15.9,101.4,43.4,107.5,87.1,43.2,21.9,64.2,78.3,23.4
