month,Belgium,Bulgaria,Czechia,Denmark,Germany,Estonia,Ireland,Greece,Spain,France,Croatia,Italy,Cyprus,Latvia,Lithuania,Luxembourg,Hungary,Malta,Netherlands,Austria,Poland,Portugal,Romania,Slovenia,Slovakia,Finland,Sweden,Iceland,Norway,Switzerland,Montenegro,North Macedonia,Albania,Serbia,Kosovo*,United States,United Kingdom,"Canada (StatCan CPI Coffee, % vs 2019 avg)"
2021-09,-2.1,1.7,3.8,0.1,2.8,5,-5.6,-2,0.4,-0.9,2.4,-2.8,-2.1,0,3.2,0.1,0.6,1.7,-1.1,-1.9,1.2,-0.6,4.3,0.6,1.4,18.5,15.2,5.9,-1.6,-1.3,3.7,0.5,0.8,0.9,8.7,4.4,-7.8,-0.6
2021-10,-1.3,3.7,2.8,0.7,3.9,3.8,-2.6,-0.2,1.3,-0.8,2,-3.1,-1.6,-0.5,7.7,1.9,3.4,1.2,-0.3,1.9,1.4,-0.9,4.6,1.6,0.8,20.1,14.3,6,-7.7,-1.3,5.5,2.3,0.9,5.8,13.6,6.2,-3.8,2.8
2021-11,0.5,3.6,0.4,3,4.5,8,-0.3,1.5,3.5,-0.1,2.4,-3.1,-0.9,1.8,8.2,1.4,4.8,2.4,4.5,2,1.5,-0.7,5.7,2.8,1.6,25.6,20.9,5.7,-1.4,-0.6,8.2,3.1,1,11.1,21.2,5.9,-3.8,1.9
2021-12,0.9,4.8,0.7,-4.3,4.1,0.8,0.1,0.7,4.2,0.7,9.6,-2.3,-0.3,1.8,8.4,1.3,1.8,0.4,3.6,1,2.2,2.8,6.5,4.1,1.2,15.5,11.7,6.4,-7.7,-3.4,10.3,3.7,3.3,14.8,23.7,6.1,-4.2,2.3
2022-01,5,7.2,6.9,7.9,5.9,11.6,-2.3,1.4,4.5,1.2,11.5,-0.4,0.4,2.3,8.7,3.9,7.9,-0.2,6.6,5.4,4.1,4.8,7.7,5.9,4.8,46.8,25.1,8,3.1,-1.8,12.5,7.9,3.4,18.6,24,10.1,-1.1,3.5
2022-02,5.4,14.4,8,10.6,7.9,15.3,-1.3,1.5,7.2,2.1,14.1,-0.2,3.7,7,19.3,5.1,12.1,0.5,9.2,10,8,5,9.5,8.7,7.6,46.4,39.7,10,11.5,0.6,13.8,11.1,4,22.4,25.3,11.8,-0.5,7.4
2022-03,8.9,17,9.3,9.2,9.8,22.2,-3.6,2.7,9.3,3.1,15.5,-0.1,5.4,14.1,21.6,8,14.7,3.6,11.1,7.5,10.1,6.6,11.6,9.7,9.8,58.3,44.6,11.7,15.8,2.3,18.7,12.5,7.6,24.4,24.4,12.4,-0.2,7.3
2022-04,10.2,17.2,10.2,8.5,11.1,23.5,-0.8,5.3,11,5.9,16.7,1.7,7.9,17.7,24.6,6.6,15.6,8.9,12.9,11.9,11.9,6.7,13.8,11.5,12.7,54.5,44.7,15.2,4.5,1.7,21.5,14.7,8.9,25.3,25.5,15.1,1,9.6
2022-05,12.7,17.6,13.9,16.4,15.8,27.6,-0.7,5.5,12.3,8.1,16.7,2.3,9.6,15.9,21.9,13,18.6,12.4,15.3,10.6,13.9,5.6,16.2,13.7,13,58.4,52.6,17.1,14.1,5.9,22.2,18.5,9.4,25.7,28,17.9,5.1,11.3
2022-06,13.8,19.4,15.4,18.9,18,31,2.1,7.3,12.1,8.5,18.2,3.3,12.3,25.5,30.9,12.2,22.8,12.9,16.2,13,14.2,8.1,17.9,14,13.1,58.2,49.5,21.7,16.8,5.5,22.4,18.7,9.6,25.2,31.9,19,4,12.9
2022-07,17,19.6,15.6,22.3,17.4,31.2,2.1,9.5,13.2,10.2,18.9,3.8,10.5,29.6,36.6,12.6,29.1,13.4,17.7,14.4,16.8,9,19.5,14.3,15.6,65.5,57.9,23.9,26,2.5,22.3,18.7,9.2,25.7,31.5,22.2,7.1,13
2022-08,16,22.8,18,22.9,21.3,35,2.1,11.6,13.7,11.2,22.9,4.3,12.6,29,40,14.3,35.1,13,20.1,18.8,19.9,10.6,21,14.8,17.5,58.5,51.7,25,25.4,8.3,23.7,18.7,10.2,27,31.5,21.4,4,13
2022-09,17,23.3,19.3,23.2,23.1,30.2,2.9,13.3,12.7,11,26.3,4.6,15,35.8,47.7,12.7,36.2,15.1,18.6,19.5,22.3,12.7,22.7,15.1,18.4,54.4,59.4,24.9,25.1,5,26,18.5,9.8,29.5,32.1,20.8,6.4,15.8
2022-10,17.5,23.9,17.4,24.2,23.3,31.3,2.7,14.2,13.4,12.6,25.8,5.1,19.4,34.4,42,16.1,41.1,15.4,19.8,19.8,23.6,10.5,25.4,17.3,18.2,60.6,61.7,25.3,20.9,5.6,27.7,20.1,10.3,28.7,32.6,21.9,7.3,16.7
2022-11,18.7,24,19.1,25.6,23.2,34.4,3.8,14.2,13.5,14.4,28.8,5.9,20.3,35.5,52.5,16.2,42.6,13.8,22.6,19.2,24.4,8.3,27.5,19.4,19.9,51.1,64.5,26.1,24.6,5.6,28.2,20.3,10.3,29.5,33.6,21.3,7.3,18.5
2022-12,20.6,23.1,21.1,15,22.9,33.4,3.1,15,15.2,15.9,28.1,6.7,20.5,36.4,52.7,17.7,42.5,13.3,23,17.1,25.8,11.5,28.9,21.5,18.4,40.1,56.9,27.4,18.2,0.5,27.5,24.2,9.6,35,33.4,21.3,5.5,15.8
2023-01,26.4,23.9,25.6,27.3,25,29.5,6.2,13.2,15.9,16.7,28.1,8.2,21.3,37.6,52.9,18.9,48.1,13.6,25.4,23.2,27.1,12,30.5,23.7,22.4,57.6,66.3,28,30.9,7.8,28.1,26.3,10.3,38.2,33.5,24.1,13.2,18.2
2023-02,26.2,30.7,27.9,27.8,22,36.6,8.4,15.8,18.1,18.4,28.4,8.7,21.3,42.2,51.6,20.5,56.7,19.3,25.9,26.9,29.5,16,32,23.1,25.8,56,62.3,30.3,27.9,8.1,28.2,29.4,10.4,40.2,34.1,24.5,16,19.5
2023-03,29.6,31.9,31.1,28.2,21.2,27.8,10.1,18.1,19.1,19.7,27.2,8.4,24.1,42.3,51.9,21.3,64.4,23.8,24.3,20,32.1,15.5,32.9,24.1,30.1,47.8,64.9,32.6,30.4,5.5,15.5,30.3,11,41,34.1,23.9,15.3,18.3
2023-04,26.3,32.8,25.8,27,20.3,33.9,12,18.8,19.3,21.1,32.1,9.2,25.5,46.6,55,22.6,66.4,26.1,23.2,25.2,34,15.6,34.2,23,29.6,40.5,64.3,36.9,22.6,8,15.5,31.1,11,43.9,34.2,22.7,16.5,16.2
2023-05,23.1,32.9,27.8,29.8,18.7,37.8,10.6,20.3,19.9,22.6,37,10.2,25.2,46.4,52.7,23,65.8,26.5,24.9,22.8,35.3,18.1,35,24.5,31.4,44.6,62.1,37.6,28.2,9.9,18.5,31.3,11.4,43.3,34,23.5,14.8,20.6
2023-06,24.6,34.1,31.6,28.9,20.8,36.1,11,19.3,18,23.2,37.5,10,28.1,47.1,49.7,24.5,66.6,26.4,25.5,27.5,36.5,19.1,36.3,26,30.2,50.7,62.2,38.6,37.8,7.8,21.7,31.4,11,44.1,35,22.9,15.9,20.3
2023-07,22.6,34.7,24.2,31.9,19.9,29.3,10.5,20.2,19.9,23.6,36.9,10.6,28.3,42.5,53.6,24,65.4,27.7,24.5,24.1,36.7,19.4,36.9,26.4,29,59.4,69,39.7,38,6.7,23.3,31.5,11.1,44.7,34.4,23.4,13.8,20
2023-08,21.8,38.2,25.8,31,18.9,33.8,11.5,21.7,20.3,23.9,37.5,10.7,27.9,48.3,51.1,25.9,62.9,28.8,25.5,27.2,36.4,20.1,37.6,25.9,29.8,50.9,61.7,39.6,33.8,9.9,23.6,32.7,11.2,44.1,34,22.6,17.3,22.4
2023-09,22.9,35.3,31.2,26.5,21.6,36.2,11.8,20.3,20.4,23,38.1,10,27.4,47.4,41.5,24.4,62.4,29.7,25.3,26.3,36.5,19.9,38.6,26.3,28.1,48.3,67.7,40.3,28.6,7.4,23.2,33.4,11.3,44.1,35.6,22.7,14.5,19.5
2023-10,23.1,37.7,22.5,24.9,20.9,35.5,12.4,22.6,21.2,23,37.1,9.3,27.2,48.6,42.2,25.4,61.2,30.9,21.8,25.7,37.3,17.8,39.1,25.8,28,51.5,66,39.8,35.9,8.4,21.7,33.5,12,44.3,35.8,22.4,17.5,21
2023-11,24.8,38.1,22.4,26,21.7,34.4,12.4,21.6,20.9,23.2,35.1,9.3,23.6,51.9,38.7,23.2,63,30.9,21.2,28.1,37.8,16.9,39.2,24.7,29,37,58,39.4,34.9,9.3,20.8,33.5,12.3,45.7,35.3,21.2,18.3,21.9
2023-12,25.7,39.9,21.8,14.8,20.7,29.7,13.1,18.6,20.8,23.4,36.5,9.1,21.6,50.6,31.5,24.3,62.5,30.8,19.6,24.7,37.5,17.3,39.2,24.7,25.9,21.3,48.7,39.1,27.1,5.4,21.4,33.8,11.9,44.9,35.2,19.4,18.1,18.6
2024-01,26.3,39.5,24.5,27.8,19.3,34.1,13.2,18.1,21.8,23.5,35.7,10.8,20.4,51.5,32,24.4,63.4,31.3,21.8,30,37.8,18.6,40.3,27,26.3,42,56.4,39.1,33.2,9.3,22.2,33.4,12.1,44.2,37.4,22.4,14.1,21.5
2024-02,24.7,41.1,21.1,23.8,19.7,39.5,11.7,19.4,21.6,22.9,37.9,10.3,22.5,45.7,28.8,24.8,60.5,27.1,18.9,27.3,37.2,17.5,41.3,25.7,24.2,38.9,57.1,40.2,32.3,6.5,21.6,33.8,12,45.6,40.5,21,16.1,22.4
2024-03,24.3,40.5,22.5,18.6,20.3,34.6,13.6,17.7,21.3,22.8,36.7,11.2,21.3,49.4,28.6,24.6,59.3,27.3,21.3,25.5,37.2,19,41.9,25.3,26.1,25,55.1,40.1,20.3,7.1,23.6,35.4,12.3,46.1,41.2,21.2,16.3,21.5
2024-04,23.5,40.8,25.2,24.3,20.6,35.8,13.5,19.5,22.1,23.1,39.1,11.9,22.8,46.3,28,23.4,58.4,28.1,24.2,29.6,38.5,22.9,41.8,23.6,27.4,45.3,62.8,40.3,34.6,7.9,26.9,33.1,12.3,45.5,43,20.3,18.7,19.2
2024-05,23.1,40.7,28.5,27.1,18.3,39.3,13.9,18.9,22.2,23.2,36.8,12.5,22,47.7,31.7,26,57.8,27.5,22.8,24.4,39.2,21.2,42.5,25.7,26.4,37.3,58.7,41,30.8,6.6,27.3,33.6,12.3,46,43.6,20.4,14.3,21.5
2024-06,22.5,41.5,23.1,29.8,18.2,40.8,11.7,20.1,23.2,23.2,37.9,14.4,22.7,51.6,33,25.3,59.5,27.3,22.9,29.8,39,20.8,42.8,25.7,27.6,54.9,61.2,41.8,35,7.3,33.5,39.5,12.4,47,43.5,21,18,21.9
2024-07,23.9,44.7,27.4,31.7,21.3,45.2,10.1,20.3,25.4,23.2,41.5,17.3,22.7,51.8,31.3,24.1,63.2,26.7,24.3,27.5,41,19.8,42.5,27.2,27.6,59.8,75.8,43.1,39.8,6.2,43.3,39.5,12.4,52,45.2,22.9,13.9,21.3
2024-08,26.6,49.8,30.7,33.1,22.1,45.9,11.8,20.5,26.5,24.1,44.8,20.4,21.1,50.7,40.5,27.5,65.9,26.6,29,34.1,40.9,22.1,43.1,31.1,29.6,57.4,72.4,44.4,28,9.3,43.5,40.1,12.8,56,46.3,20,18.7,21.2
2024-09,24.9,47.3,36.8,35,23.9,49.7,11.3,20,25.6,23.5,46,20.1,21.6,53.5,34.8,25.7,66,27,26.1,32.8,41.5,23,44,31.7,30,63.4,78.7,43.9,34.5,6.6,45,42.4,13.1,57,49.9,21.5,19.2,21.1
2024-10,27.6,49.8,33.8,40.5,25.8,53.5,12,17.9,27.6,24.3,50.9,22.2,26.5,54.9,34,26.7,68.2,26.4,23.2,31.8,41.4,18.2,44.6,33.8,30.5,60.3,71.3,42.3,34.3,7,45.2,47.3,13.1,57.6,51.4,22.3,18.2,23.2
2024-11,25.7,48.9,31.8,38.8,25.2,56.8,10.7,19.9,29.2,25.5,51.9,23.9,25.1,52.6,38.6,27.6,68,26.2,27.1,36.7,41.3,20.8,44.8,40.1,28.8,62.6,81.1,43.7,37.1,5.9,45.1,47.8,13.2,57.8,51.7,23.5,18.7,24.2
2024-12,27.9,48.7,36.9,35,25.2,53.9,11.2,19,29.5,25.9,54.2,25.3,24.8,68.6,36.3,28.3,69,27.5,29.5,33,41.4,24.6,45.3,43.4,26.3,45.2,74.1,43.9,26.7,7.6,47.5,47.4,13.7,57.2,55.1,23.9,18.3,22.2
2025-01,33.3,57.1,42,42.4,25.6,60.3,16.1,20,33.8,26.5,55.6,28.4,26.3,69.6,42.4,27.9,76.7,28.4,37.1,37.5,45,29,46.3,43.6,33.1,70.7,81.5,48.6,42.9,11.3,50.3,53.3,14.1,62.6,58.2,26.2,27.4,25.2
2025-02,34,64.6,42.3,46.7,27.9,67.7,16.9,24.5,39.2,26.8,56.3,30.5,25.9,75.5,50.9,29.5,85.2,32.2,38.6,45.9,47.4,28.2,47.8,45.8,35.6,82.2,101.2,50.4,33.7,11.6,49.6,60,15.3,75,61.9,28.2,26.1,30.1
2025-03,35.2,69.1,50.2,45.1,33.7,74.9,19,27.9,40.1,28.8,55.7,32.9,25,73.7,48.9,31.8,87.7,32.7,38.1,47.5,50.9,27.8,52.8,50.4,40.4,88.6,101.6,53.1,42.5,11.6,55.5,53.1,16.3,78,66,29.3,24,34.9
2025-04,34.6,70.1,50.7,50,34.6,81.9,20.6,32.3,44.8,36.1,65.8,36.3,29.2,84.6,54.6,35.7,88.4,31.4,43.2,53.6,53.2,30.1,55,54.6,46,80.6,131.5,57.7,35.1,10.6,57.5,56.7,17.6,81.1,66.9,31.9,27.6,37.5
2025-05,37.8,73.3,56.2,60.4,39.2,95.9,20.4,33.9,46.4,40.8,70.6,40.3,32.4,98.9,58.5,39,91.5,35.1,44.9,51.3,55.5,32,57.1,59.9,48.9,99.8,133,60.4,50.7,13.4,54.9,73.5,18.6,87.8,66.2,34.2,30.2,38.9
2025-06,38.7,76.7,59.1,67.7,41.7,98.9,20.8,33.5,47.5,42.9,72.8,42.6,35.5,100.3,58.4,41.7,90.5,37.6,50.6,63.6,56.9,34,59.3,64,52.2,110.3,135.3,70.9,62.6,14.7,55.6,85.4,20.1,91.1,70.2,37.1,32.5,50.2
2025-07,41.6,75.9,65.1,74,45.5,93,24.1,40.5,50.2,43.3,74.1,44.8,37.6,103.6,61.6,41.9,93.8,39.9,57,55.8,58.8,36.9,61.1,69.5,58,130.7,128.3,75.3,73.1,15.2,59.1,88.7,19.3,94.3,70.4,40.7,34.6,55.9
2025-08,43.6,77.7,65.3,71.9,50,105.6,25.3,42.8,52.1,45.4,74.7,47.7,39.1,102.2,67.8,45.2,95.2,40.9,61.6,65.6,61.1,35.1,67.4,68.4,59.5,98,123.1,75.8,59.2,12.1,60.9,88,20.1,94.1,71.5,45,37,55
2025-09,41.6,80,66.9,76.6,51.1,100,22.9,43.7,50.5,45.7,74.3,46.5,42.1,107.4,63.3,44.4,94.1,41.4,54.3,62.2,63.4,35.2,68.6,72,60.8,90.2,122.4,76,74.2,12.7,61.6,94.2,20.5,95.6,71.9,44.5,35.2,55.8
2025-10,45.8,81,68.3,70.7,52.6,96.4,23.9,40.6,52.3,46.7,72.4,47.6,42.6,109.7,57.8,45.4,92.2,40.7,55.5,56.4,64.4,30.3,72.5,71.7,60.5,94.6,123.5,76.4,67.8,13.6,61.9,93.3,21.4,95.2,71.8,,35,55.6
2025-11,45.7,79.6,63.2,69.3,51.8,98.8,24.3,44.7,51.6,48,73.6,46.7,43.7,104.8,56.9,44.7,92.3,42.8,56,61.1,65.4,33.5,74.5,70.3,58.8,98.8,123.1,75.5,64.5,11.1,61,94.6,21.4,95.3,73.8,46.7,35.9,58.8
2025-12,43,80.3,60.7,61.5,50.1,91.6,23.3,43.8,50.7,48.3,73.2,47.3,43.4,113.1,61.6,47.7,88.8,44.1,56.6,58.3,65.4,32.4,80.1,70.6,62.5,66.7,116.8,74.2,56.1,9.2,59.6,97.1,21.6,95.5,74.2,48.4,34.6,59.8
