month,Albania,Austria,Belgium,Bulgaria,Croatia,Cyprus,Czechia,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Italy,Kosovo,Latvia,Lithuania,Luxembourg,Malta,Montenegro,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,Serbia,Slovakia,Slovenia,Spain,Sweden
2020-11,3.2,-4.6,0.4,-5.0,1.5,-7.0,-5.0,-4.8,-1.9,-4.7,-0.8,-4.8,-7.5,3.3,5.3,-0.9,-6.6,-9.8,0.8,-6.0,-4.2,-6.6,2.1,-2.9,-9.0,0.0,-1.1,-15.1,3.7,-1.9,-3.8,-0.9,-8.5,-0.2
2020-12,4.2,-1.2,-1.0,-3.7,-5.6,-1.0,-4.7,-5.6,-11.8,-3.9,-0.5,-5.2,-6.3,3.8,5.5,-0.2,-7.5,-11.9,0.7,-2.6,-4.6,-8.5,2.1,-3.6,-9.7,-0.6,-1.5,-13.0,3.7,-1.9,-1.0,-1.7,-8.5,-0.7
2021-01,5.4,-3.7,-2.2,-7.0,-3.8,-2.6,1.7,-9.4,-2.8,-4.1,-0.2,-4.8,-5.8,5.4,5.5,0.6,-3.6,-11.8,-0.3,-3.1,-3.5,-8.1,2.1,-6.0,-12.3,6.6,-0.2,-13.6,4.7,-1.4,-2.2,-0.0,-8.8,-0.4
2021-02,4.9,1.8,-0.1,-4.6,-3.6,-0.5,-3.5,-8.8,-6.9,-4.5,-0.5,-3.9,-6.2,5.4,7.2,0.1,-3.8,-10.5,5.1,-4.4,-0.7,-7.8,1.9,-3.9,-12.3,3.9,-1.2,-7.3,4.8,-1.9,1.3,0.0,-8.7,-2.2
2021-03,4.9,-2.6,-2.3,-4.4,-3.4,-0.1,1.4,-13.8,-11.8,-4.2,-0.6,-4.6,-6.8,4.6,7.7,0.5,-3.8,-8.4,-1.4,-6.1,-2.2,-6.5,2.1,-6.0,-12.7,2.1,-3.2,-8.1,5.6,-0.3,1.3,-1.3,-8.1,-1.7
2021-04,5.5,-1.8,-2.1,-6.3,-3.5,-1.1,-1.5,-13.9,-8.5,-4.8,-0.2,-5.8,-7.5,7.6,8.5,1.2,-1.5,-10.8,-0.3,-9.0,-2.4,-6.6,2.4,-2.6,-13.4,3.4,-0.7,-8.7,6.7,1.4,0.6,-1.0,-5.1,-1.1
2021-05,7.1,-0.2,-3.0,-2.8,-7.6,-0.7,2.4,-10.4,-4.7,-3.3,-1.1,-3.7,-4.9,7.6,8.0,0.1,-1.6,-9.6,5.8,-9.2,-1.1,-6.5,2.4,-4.2,-14.4,3.2,-0.3,-9.5,6.9,0.3,-7.8,-0.1,-1.7,-3.3
2021-06,6.9,-4.6,-0.4,-4.0,-2.8,0.1,-2.4,-7.2,-7.7,-3.4,-0.6,-2.2,-5.5,8.0,7.7,-1.4,-1.8,-10.3,5.6,-5.6,-1.6,-6.9,2.4,-6.7,-12.4,0.7,-0.7,-6.5,7.6,0.3,-1.7,-0.8,3.8,-1.3
2021-07,6.4,-1.1,0.0,-3.8,1.6,-1.1,-1.4,-10.7,-2.3,-2.6,-0.1,-1.3,-5.2,8.7,6.8,0.0,-1.8,-9.9,5.0,-6.1,-1.7,-6.5,2.4,-8.2,-11.0,3.3,0.2,0.4,8.1,0.5,-4.0,1.7,11.8,-0.9
2021-08,6.4,0.7,-1.3,-1.6,2.1,2.8,4.1,-8.0,-1.7,-2.7,-0.2,-0.6,-2.5,9.3,7.7,-1.4,-0.3,-8.4,7.1,-5.2,2.0,-6.5,1.9,-5.5,-11.0,3.2,-0.2,-7.3,10.0,3.4,-3.9,1.6,14.3,1.2
2021-09,5.8,0.9,0.2,-3.0,-0.3,-0.7,1.4,-7.4,-1.6,-1.8,-0.6,1.1,9.0,9.9,7.8,-0.6,-1.5,-9.3,9.7,-5.5,2.4,-5.7,3.2,-3.5,-11.9,2.3,0.3,-4.0,10.8,1.9,-4.7,1.4,14.1,2.3
2021-10,7.6,2.7,2.8,-2.4,0.7,-1.1,-1.4,-8.8,-4.1,-1.7,-0.3,1.9,11.1,10.3,6.6,-0.3,-1.1,-5.5,5.7,-6.4,1.0,-6.3,3.2,-4.2,-11.6,3.2,0.5,-3.5,12.0,3.7,1.6,1.6,14.7,1.5
2021-11,6.8,3.3,3.2,0.8,4.4,-1.7,2.9,-6.5,-6.5,1.1,0.5,2.4,9.6,13.5,11.5,1.1,-1.5,-5.1,10.2,-7.1,2.6,-6.6,3.2,-3.2,-10.9,4.3,1.4,-4.9,11.8,5.0,-0.4,0.1,14.8,1.3
2021-12,9.0,1.8,3.5,1.0,-0.5,-3.9,3.8,-7.4,-8.1,2.8,1.0,2.4,9.6,12.6,11.5,2.0,-1.8,-3.5,10.8,-5.0,0.7,-7.1,3.6,-4.0,-9.7,1.6,1.2,-3.2,14.0,4.4,1.3,3.3,15.9,1.5
2022-01,9.7,-0.7,5.7,2.3,4.5,-0.8,10.2,-8.8,-8.9,2.7,1.1,1.9,8.7,17.4,13.4,2.9,-0.2,-0.7,9.1,-3.2,2.6,-6.7,4.9,0.9,-7.2,4.7,2.7,-4.6,15.3,6.8,2.4,3.8,18.7,1.8
2022-02,10.0,2.3,6.0,-0.2,3.4,-1.0,5.0,-6.3,-2.4,2.6,1.5,3.1,10.8,18.6,14.2,2.5,0.2,0.0,16.9,-0.8,1.0,-5.1,5.2,5.8,-4.5,12.6,0.8,-1.7,18.8,5.7,4.0,3.8,19.2,2.1
2022-03,14.4,2.9,10.6,2.2,0.3,0.0,14.0,-10.0,-4.0,3.6,2.9,4.1,14.3,19.6,14.6,2.2,1.3,1.6,13.6,-0.4,4.8,-4.4,6.2,10.0,-2.5,14.5,1.1,0.5,20.5,5.7,1.3,2.8,22.0,8.7
2022-04,14.3,2.5,4.5,4.4,1.0,4.0,12.2,-2.1,-0.6,5.7,4.5,7.9,15.2,20.2,13.4,3.3,3.2,7.2,19.2,1.6,4.0,-2.2,4.4,9.3,-2.5,13.2,1.8,4.5,21.2,4.2,2.5,6.8,35.3,13.0
2022-05,14.2,1.5,12.3,5.8,1.9,3.0,12.0,2.7,8.6,7.7,6.5,10.6,18.2,21.4,13.4,3.6,5.4,8.9,19.2,5.5,5.7,-0.0,6.2,10.6,0.3,16.6,2.4,7.5,24.1,10.8,4.3,8.5,34.2,14.4
2022-06,15.0,4.6,19.9,7.2,1.0,3.1,19.1,-2.0,13.5,7.6,9.2,12.1,18.2,28.7,13.3,5.0,6.2,10.7,21.3,4.7,6.3,3.4,8.6,11.7,4.2,15.1,2.6,8.4,25.6,15.1,8.5,9.3,32.0,11.2
2022-07,16.4,1.9,23.0,6.4,5.0,7.3,13.1,2.6,14.9,7.5,10.1,15.6,20.7,36.8,13.4,4.6,6.9,12.0,26.1,5.7,7.1,5.0,10.6,17.1,5.7,23.9,4.1,8.5,26.9,16.6,9.9,11.3,30.7,11.8
2022-08,15.8,3.8,18.8,8.0,5.9,9.2,19.3,3.1,12.9,7.0,11.5,15.0,20.7,39.8,13.4,5.6,6.9,16.5,25.3,10.2,8.2,5.3,12.3,17.2,8.6,25.6,6.4,5.3,27.1,16.6,16.0,10.6,29.4,11.7
2022-09,16.9,2.7,18.6,8.1,6.3,11.9,21.6,-4.3,11.6,7.0,12.6,15.4,23.4,45.8,12.6,6.0,7.1,24.9,24.9,7.4,9.8,6.4,11.4,14.2,7.9,23.1,6.9,7.1,27.1,17.0,14.1,13.3,30.1,13.9
2022-10,20.6,6.6,20.6,10.4,8.1,12.5,13.8,-7.2,11.9,7.1,15.5,14.7,25.0,45.1,11.7,6.8,8.7,28.2,28.4,8.8,8.0,6.7,13.9,15.1,15.0,24.3,8.3,14.3,28.5,16.2,11.6,10.8,32.7,14.0
2022-11,21.6,5.8,21.8,8.8,6.7,13.3,20.6,-5.6,9.1,10.8,16.3,16.0,29.0,47.0,12.0,9.5,11.8,28.1,28.9,10.5,12.3,8.0,17.1,21.8,17.7,26.4,8.7,15.6,29.3,17.6,16.2,13.9,44.6,12.0
2022-12,21.2,13.7,24.2,10.7,12.6,17.6,16.8,-4.8,7.2,11.2,17.0,20.1,31.6,51.4,15.2,10.2,14.0,28.4,34.5,11.2,11.0,10.2,16.8,22.9,17.0,23.5,9.0,22.0,29.5,18.1,15.9,16.1,56.7,13.2
2023-01,21.6,13.2,31.6,9.5,17.1,17.6,30.5,-5.7,8.7,12.0,20.0,21.2,33.1,53.7,16.5,12.1,20.2,24.6,37.0,19.7,13.8,9.4,17.6,28.5,17.1,32.4,10.0,24.8,29.5,17.3,17.4,18.2,54.9,17.8
2023-02,22.9,18.1,34.0,13.7,17.2,17.6,24.2,3.1,10.9,14.2,23.0,22.7,36.7,66.5,17.6,14.2,25.7,24.6,35.9,20.0,16.8,11.1,16.3,29.7,18.5,30.7,11.6,53.2,32.8,19.2,14.3,21.8,59.1,24.2
2023-03,23.7,19.1,41.5,13.4,18.2,16.7,32.9,4.5,31.8,17.4,26.5,25.9,34.1,70.6,17.7,15.1,28.5,24.1,37.0,24.8,20.4,17.0,22.7,30.7,19.3,30.7,14.3,45.9,30.9,24.3,17.5,24.6,61.2,29.9
2023-04,23.7,24.4,38.5,12.7,18.4,16.3,27.7,2.0,40.6,22.4,29.6,28.8,36.5,68.9,22.1,16.8,30.1,31.2,45.6,28.6,21.5,20.8,25.1,35.0,22.1,32.8,17.0,46.0,31.0,29.7,15.6,31.2,65.4,30.7
2023-05,23.5,25.2,37.9,17.4,19.4,17.5,36.4,4.4,31.2,28.3,30.8,33.7,42.5,72.9,32.9,18.8,31.3,35.4,46.4,32.3,21.5,24.0,25.6,32.3,20.5,34.4,17.9,39.8,34.6,34.1,22.1,35.5,67.3,30.8
2023-06,23.5,26.8,38.9,17.9,23.3,20.6,37.9,-0.6,39.7,32.8,31.4,36.8,44.0,74.7,38.5,20.7,34.5,33.9,47.6,33.9,26.6,25.5,34.1,35.4,28.3,36.8,18.7,40.1,34.6,36.4,24.8,33.2,72.9,31.4
2023-07,23.5,29.5,44.0,19.3,24.3,21.2,40.3,10.7,30.7,33.2,33.1,41.6,43.5,76.0,39.2,21.2,39.6,37.0,48.1,36.7,23.6,26.0,38.5,36.6,29.2,51.2,19.7,38.7,36.4,37.2,25.6,34.9,81.5,33.7
2023-08,23.5,42.7,43.8,19.0,40.6,23.5,45.8,16.3,44.1,36.6,35.2,51.7,49.0,76.3,43.0,21.3,46.6,31.8,50.4,40.5,29.9,29.8,38.5,38.1,31.4,54.4,19.9,53.4,36.3,40.8,26.8,41.1,97.3,41.2
2023-09,23.6,45.0,44.1,19.1,43.9,24.4,49.4,22.5,30.6,40.2,35.4,56.1,58.9,77.2,50.1,22.9,53.3,37.3,59.3,46.3,28.1,32.7,40.9,38.7,37.2,49.7,23.0,64.4,40.6,38.9,28.2,41.7,117.3,46.3
2023-10,23.3,50.4,50.9,22.3,52.2,27.2,58.8,20.6,31.3,41.9,36.9,58.7,81.3,88.9,48.9,23.7,62.4,36.9,68.4,52.0,31.0,40.6,46.8,41.5,31.9,51.4,24.8,83.6,41.0,38.2,35.6,44.7,130.2,46.6
2023-11,24.2,57.7,52.4,22.1,58.0,34.7,67.8,32.7,45.8,51.3,37.8,66.5,99.2,91.8,49.5,26.4,67.7,37.4,68.9,48.7,33.8,47.6,50.8,44.4,36.3,52.6,28.4,102.4,42.7,37.8,41.7,53.1,141.1,50.1
2023-12,24.1,60.6,63.1,25.3,62.8,34.7,72.8,37.9,68.0,55.1,38.4,68.7,108.6,91.2,51.0,28.9,70.2,37.3,76.4,54.1,36.4,50.2,53.6,46.5,37.7,50.5,29.4,101.1,43.5,39.3,39.0,56.1,142.2,56.6
2024-01,24.4,64.5,65.7,37.1,68.7,75.4,88.7,38.9,65.4,61.1,45.7,76.8,122.7,97.6,55.0,29.9,74.1,39.6,75.8,57.3,40.4,55.9,51.0,51.1,42.1,55.7,31.9,111.1,46.0,42.6,38.8,61.9,152.3,65.3
2024-02,24.9,71.1,68.8,41.3,82.5,81.5,90.6,41.6,62.1,64.8,52.0,85.0,123.8,107.6,70.9,38.5,83.9,39.3,76.5,63.8,45.1,57.6,50.2,59.8,41.9,60.0,35.1,118.1,53.7,50.1,62.2,77.8,165.6,80.4
2024-03,25.3,80.6,78.8,49.8,89.0,88.8,105.1,54.2,70.1,68.4,62.7,94.1,124.3,118.8,71.0,41.3,87.3,41.4,80.3,65.1,56.7,63.5,51.6,56.9,58.6,56.1,38.6,121.8,58.7,59.6,70.1,80.7,174.1,81.8
2024-04,25.5,84.7,75.3,50.7,91.1,90.3,107.2,52.4,95.5,71.2,71.4,97.0,123.4,129.7,70.5,44.2,87.7,43.1,88.0,62.6,57.2,71.8,55.2,66.9,56.3,70.0,43.0,120.5,69.3,65.2,74.4,83.2,178.1,84.9
2024-05,25.4,85.7,83.7,54.5,93.6,94.2,114.4,66.1,100.5,87.3,75.6,98.7,123.5,134.3,83.3,47.0,89.2,43.1,96.5,69.2,62.9,77.2,61.2,66.1,60.6,72.3,43.5,110.7,76.6,69.5,79.3,87.9,172.4,88.9
2024-06,24.7,84.9,89.5,56.1,92.6,96.7,107.1,67.9,103.0,88.2,75.5,100.8,123.0,136.6,83.8,49.2,90.4,44.4,102.6,73.3,69.7,80.9,64.4,65.7,66.4,73.2,48.6,108.2,76.5,76.2,84.7,87.6,165.7,90.6
2024-07,27.0,82.1,96.7,55.6,93.4,96.7,113.0,66.0,94.0,90.4,76.8,105.4,124.8,135.8,87.8,49.8,89.1,43.2,104.1,69.0,74.8,84.9,74.2,68.1,68.9,86.3,54.2,105.6,77.0,79.4,89.4,88.0,151.1,89.5
2024-08,28.4,85.1,92.9,52.5,94.8,100.6,122.3,60.0,107.4,92.9,77.8,104.8,122.1,134.6,89.3,48.6,89.4,48.2,98.8,66.2,65.4,84.9,80.8,72.2,71.1,89.1,58.7,102.7,77.7,78.6,85.6,91.3,146.8,87.0
2024-09,29.1,86.3,95.3,52.5,96.2,100.6,104.1,66.8,104.0,93.7,77.9,102.3,120.7,136.0,89.4,49.0,87.8,54.7,107.1,68.7,70.7,87.5,81.8,74.1,72.8,83.4,60.2,103.4,80.0,78.9,85.5,87.6,139.7,84.6
2024-10,29.8,87.7,106.1,53.6,91.5,98.7,103.7,61.5,103.6,93.4,77.8,103.3,114.0,136.2,92.2,51.2,85.6,57.9,111.8,64.1,69.6,86.6,81.8,73.6,71.7,89.0,59.5,104.0,82.1,78.5,77.6,83.9,139.9,82.6
2024-11,32.1,78.3,90.9,55.2,89.3,98.7,118.0,58.4,109.6,88.1,78.0,88.7,112.1,133.5,92.8,47.6,83.9,58.6,108.5,53.5,68.1,86.9,73.9,68.7,72.1,93.5,60.0,104.4,86.3,77.7,77.8,86.1,132.3,82.8
2024-12,32.7,78.8,98.0,52.6,91.9,93.2,103.4,54.3,108.2,87.8,77.6,88.7,107.4,133.5,92.2,48.9,75.9,61.3,112.1,65.3,68.5,84.0,73.9,67.3,68.6,89.8,61.0,96.4,85.0,79.7,75.1,86.4,112.4,77.7
2025-01,33.2,78.9,99.0,56.3,87.9,79.1,112.9,44.4,107.7,83.9,77.3,79.5,99.4,131.5,90.7,51.0,76.3,59.9,111.1,66.5,68.6,83.7,75.8,69.6,67.7,92.2,61.5,87.6,84.8,80.2,83.7,91.2,97.1,77.0
2025-02,33.0,78.6,99.6,53.8,83.2,73.8,104.4,41.8,107.7,84.8,75.5,75.8,86.0,129.4,84.4,49.9,71.4,58.1,108.3,64.9,65.9,82.6,75.2,70.3,65.4,81.3,59.7,80.6,81.6,77.1,74.2,86.6,79.9,70.6
2025-03,33.3,70.0,104.3,48.2,79.5,62.4,99.8,34.6,105.3,84.3,74.0,75.2,72.0,129.2,86.2,50.4,65.3,54.3,103.3,55.5,66.8,79.5,73.4,67.1,68.4,85.9,60.5,68.9,81.4,64.5,57.3,79.0,70.2,63.9
2025-04,35.6,63.3,86.8,43.0,71.7,62.4,93.6,35.4,109.7,65.7,72.4,68.5,60.3,127.2,86.6,48.4,62.8,54.3,96.0,58.8,61.1,76.6,71.2,64.3,59.1,82.3,58.7,58.3,81.3,56.1,57.0,84.6,60.9,58.4
2025-05,37.6,60.6,85.7,35.9,65.0,55.3,85.2,33.5,106.9,61.2,68.0,64.5,46.6,120.3,82.7,48.2,58.9,52.8,106.1,52.8,60.6,75.6,70.4,64.0,54.2,80.6,55.0,54.7,80.6,52.8,54.9,82.4,53.1,55.5
2025-06,38.6,61.2,86.0,35.4,63.2,47.2,85.6,34.6,102.0,60.0,65.3,58.3,49.7,118.3,83.0,49.4,56.6,48.6,100.5,50.5,62.1,68.4,70.6,65.0,51.0,77.7,55.4,54.4,79.5,49.9,50.4,81.5,44.2,51.9
2025-07,37.8,56.6,88.5,28.2,62.7,42.6,83.7,35.5,104.8,61.1,64.5,59.1,64.0,112.1,84.1,49.8,55.4,49.9,102.2,45.1,59.3,62.3,69.2,47.1,55.9,77.9,53.9,54.7,82.6,48.2,45.0,80.7,39.8,53.7
2025-08,38.6,56.4,85.1,27.8,65.0,42.3,83.3,37.2,105.7,52.7,63.4,58.4,48.4,117.6,83.5,49.3,53.7,49.8,102.2,48.7,59.9,60.1,69.4,60.1,54.5,85.1,52.1,51.5,82.3,47.5,40.2,77.9,39.0,51.6
2025-09,38.4,53.1,82.1,25.7,62.1,41.2,74.5,32.1,104.1,49.4,61.2,56.4,38.8,116.6,82.9,46.4,50.8,52.5,96.5,40.2,58.3,59.4,66.6,55.7,55.5,79.5,51.9,51.3,82.3,38.1,43.6,75.7,36.5,46.9
2025-10,37.7,55.5,87.9,25.5,58.1,39.4,80.0,31.3,83.1,50.4,59.7,57.3,35.1,109.5,79.3,46.7,51.1,53.5,87.9,41.1,61.6,60.0,67.7,55.0,54.7,84.0,51.5,49.3,87.2,32.9,43.9,69.3,40.2,45.0
2025-11,38.0,55.5,90.0,24.6,60.1,41.9,84.7,32.0,78.0,45.3,58.9,55.9,32.4,109.7,79.8,45.8,51.1,53.7,90.0,38.6,59.5,57.4,63.7,47.0,54.2,86.0,53.5,48.7,86.5,34.3,38.7,61.1,43.9,45.5
2025-12,38.1,59.4,88.5,24.4,58.5,39.0,69.3,32.4,91.1,45.9,58.5,55.3,36.7,110.2,80.1,46.5,48.5,55.2,85.7,33.4,58.1,55.4,61.0,48.3,48.2,84.2,52.0,45.9,87.4,32.8,36.5,62.8,45.3,45.0
