month,turkey_pct,eu_pct
2004-12,6.8,1.3
2005-01,5.5,0.7
2005-02,5.8,1.3
2005-03,4.5,1.4
2005-04,2.9,1.0
2005-05,5.4,1.2
2005-06,5.6,0.8
2005-07,3.4,0.5
2005-08,1.3,1.0
2005-09,2.5,1.0
2005-10,2.0,1.2
2005-11,3.2,1.4
2005-12,1.6,1.4
2006-01,2.8,1.8
2006-02,3.5,1.8
2006-03,4.7,1.4
2006-04,7.2,1.8
2006-05,7.1,2.0
2006-06,6.5,2.2
2006-07,9.9,2.7
2006-08,10.0,3.0
2006-09,11.5,3.3
2006-10,9.6,3.0
2006-11,9.8,3.2
2006-12,11.0,2.8
2007-01,14.8,2.8
2007-02,14.1,2.3
2007-03,13.1,2.3
2007-04,13.4,2.9
2007-05,10.7,2.4
2007-06,11.8,2.4
2007-07,9.4,2.5
2007-08,12.5,2.8
2007-09,11.8,3.4
2007-10,15.0,4.9
2007-11,12.5,5.5
2007-12,12.4,6.0
2008-01,9.5,6.6
2008-02,13.7,6.9
2008-03,13.9,7.4
2008-04,14.1,7.1
2008-05,16.0,7.6
2008-06,13.9,7.7
2008-07,15.8,7.8
2008-08,13.5,7.0
2008-09,11.2,6.2
2008-10,11.8,5.2
2008-11,12.0,4.0
2008-12,12.0,3.5
2009-01,11.8,2.9
2009-02,5.9,2.7
2009-03,9.3,2.2
2009-04,7.5,1.6
2009-05,7.8,0.9
2009-06,9.9,0.3
2009-07,8.6,-0.4
2009-08,6.8,-0.7
2009-09,6.8,-0.9
2009-10,5.7,-1.3
2009-11,7.3,-1.0
2009-12,9.6,-1.1
2010-01,9.7,-1.0
2010-02,15.5,-0.9
2010-03,11.4,-0.4
2010-04,12.3,-0.1
2010-05,6.7,-0.2
2010-06,5.7,0.3
2010-07,5.5,1.1
2010-08,10.9,1.5
2010-09,16.1,1.8
2010-10,18.1,2.1
2010-11,12.9,2.3
2010-12,7.2,2.6
2011-01,7.1,2.4
2011-02,4.3,2.9
2011-03,3.3,3.1
2011-04,2.6,3.1
2011-05,13.3,3.9
2011-06,8.5,3.5
2011-07,7.8,3.0
2011-08,6.0,2.8
2011-09,1.9,2.7
2011-10,1.4,2.9
2011-11,7.2,3.0
2011-12,12.5,2.8
2012-01,11.8,2.8
2012-02,11.7,2.9
2012-03,11.8,2.7
2012-04,12.5,2.4
2012-05,4.0,2.0
2012-06,7.8,2.8
2012-07,9.9,2.7
2012-08,9.5,3.1
2012-09,10.6,3.3
2012-10,8.3,3.5
2012-11,3.9,3.3
2012-12,3.6,3.5
2013-01,7.4,3.6
2013-02,6.0,2.9
2013-03,9.1,2.7
2013-04,6.4,3.0
2013-05,7.2,3.5
2013-06,12.7,3.4
2013-07,12.5,3.5
2013-08,10.4,3.0
2013-09,8.9,2.2
2013-10,11.4,1.5
2013-11,10.3,1.1
2013-12,10.1,1.4
2014-01,11.4,1.3
2014-02,10.3,1.0
2014-03,10.4,0.5
2014-04,13.6,0.1
2014-05,13.5,-0.8
2014-06,12.9,-1.2
2014-07,13.2,-1.1
2014-08,15.9,-1.1
2014-09,14.8,-0.4
2014-10,13.1,-0.1
2014-11,14.8,-0.2
2014-12,13.1,-0.9
2015-01,10.9,-0.9
2015-02,14.3,-0.4
2015-03,14.6,-0.1
2015-04,14.8,0.4
2015-05,14.0,0.7
2015-06,11.1,0.4
2015-07,10.5,0.0
2015-08,9.3,0.5
2015-09,10.5,0.8
2015-10,8.6,1.1
2015-11,9.3,1.0
2015-12,10.7,0.7
2016-01,11.9,0.4
2016-02,8.3,0.1
2016-03,3.6,0.4
2016-04,0.9,0.2
2016-05,1.8,0.2
2016-06,3.7,0.5
2016-07,7.6,1.3
2016-08,5.4,1.2
2016-09,4.1,0.3
2016-10,5.3,0.0
2016-11,3.2,0.5
2016-12,5.4,1.3
2017-01,7.1,2.1
2017-02,8.1,3.0
2017-03,12.0,2.0
2017-04,15.5,1.6
2017-05,17.0,1.7
2017-06,15.3,1.7
2017-07,10.1,1.7
2017-08,11.6,1.7
2017-09,11.8,2.3
2017-10,11.5,3.0
2017-11,16.0,2.8
2017-12,13.9,2.5
2018-01,8.4,2.1
2018-02,9.9,1.0
2018-03,10.1,1.8
2018-04,8.5,2.2
2018-05,11.1,2.3
2018-06,19.4,2.4
2018-07,19.9,2.1
2018-08,20.3,2.1
2018-09,28.5,2.3
2018-10,30.1,1.8
2018-11,26.2,1.4
2018-12,25.5,1.4
2019-01,32.1,1.5
2019-02,30.4,2.2
2019-03,30.9,1.9
2019-04,33.1,1.8
2019-05,29.4,2.0
2019-06,19.6,2.2
2019-07,18.4,2.7
2019-08,17.3,2.9
2019-09,9.1,2.1
2019-10,7.6,2.1
2019-11,8.6,2.6
2019-12,10.8,2.7
2020-01,8.7,2.8
2020-02,10.4,2.8
2020-03,9.7,3.3
2020-04,10.9,4.5
2020-05,12.6,4.1
2020-06,12.7,3.7
2020-07,12.8,2.3
2020-08,13.6,1.9
2020-09,15.3,1.9
2020-10,16.8,2.1
2020-11,21.7,1.9
2020-12,21.1,1.1
2021-01,18.4,1.1
2021-02,18.6,0.8
2021-03,17.9,0.6
2021-04,17.3,0.0
2021-05,17.3,0.1
2021-06,20.3,0.3
2021-07,25.5,1.5
2021-08,29.7,2.0
2021-09,29.4,2.3
2021-10,27.9,2.3
2021-11,27.4,2.9
2021-12,44.7,4.3
2022-01,56.7,4.9
2022-02,65.6,5.6
2022-03,71.4,6.9
2022-04,90.7,8.9
2022-05,93.0,10.3
2022-06,94.3,11.9
2022-07,94.3,13.2
2022-08,89.1,14.3
2022-09,92.1,15.8
2022-10,98.5,17.7
2022-11,102.1,18.3
2022-12,76.9,18.2
2023-01,70.2,18.4
2023-02,68.7,19.5
2023-03,67.3,19.6
2023-04,53.3,16.6
2023-05,52.2,15.1
2023-06,54.3,13.8
2023-07,61.4,12.4
2023-08,74.3,10.6
2023-09,76.2,9.2
2023-10,72.6,7.4
2023-11,67.7,6.6
2023-12,72.6,5.7
2024-01,70.0,4.9
2024-02,71.5,2.7
2024-03,70.9,1.2
2024-04,68.8,1.6
2024-05,70.3,1.4
2024-06,68.6,1.3
2024-07,59.4,1.3
2024-08,44.6,1.7
2024-09,43.7,2.0
2024-10,45.3,2.4
2024-11,48.8,2.2
2024-12,43.5,2.1
2025-01,41.5,2.0
2025-02,34.8,2.6
2025-03,36.8,3.0
2025-04,35.8,2.9
2025-05,32.4,3.1
2025-06,29.6,3.1
2025-07,27.2,3.4
2025-08,33.0,3.4
2025-09,35.7,3.0
2025-10,34.8,2.5
2025-11,26.9,2.3
2025-12,27.8,2.4
2026-01,31.6,2.5
2026-02,36.7,2.4
2026-03,32.6,2.1
2026-04,34.8,2.1
2026-05,35.2,1.5
2026-06,35.6,0.9
2026-07,37.6,0.5
