month,Albania,Austria,Belgium,Bulgaria,Croatia,Cyprus,Czechia,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Italy,Kosovo,Latvia,Lithuania,Luxembourg,Malta,Montenegro,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,United States
2020-11,1.7,1.7,0.1,1.0,0.3,2.7,0.0,-5.3,-3.6,0.8,-0.1,1.8,-2.7,9.4,4.4,-0.1,1.4,15.0,-0.5,-1.2,2.4,-0.3,0.3,4.2,-1.5,-1.7,0.1,-2.4,5.9,1.3,4.1,-0.2,-0.1,0.0,-0.7,2.3
2020-12,1.8,1.7,0.5,2.8,-0.7,-3.7,-3.4,-5.3,-4.5,0.8,-0.1,1.6,-3.1,8.8,2.5,-0.1,1.0,26.8,1.0,-0.3,2.8,-0.3,0.5,4.9,-1.0,-2.4,0.2,-1.7,8.3,2.2,3.8,-0.0,-0.6,-1.4,-0.5,3.1
2021-01,4.4,-1.0,0.8,1.7,-1.0,0.7,5.7,-5.4,-4.4,0.1,-0.3,3.4,-1.0,8.8,2.4,-0.5,1.4,23.1,-0.2,-1.1,2.0,-0.3,1.0,5.0,-0.7,-4.1,0.6,-2.3,8.7,3.3,4.1,-1.3,-0.4,0.8,-0.6,3.3
2021-02,4.6,3.0,0.6,1.0,-1.3,4.1,-3.4,-1.8,-4.0,1.3,-0.2,3.2,-2.6,8.5,3.2,-1.2,0.8,14.3,-0.6,-0.9,1.1,-0.3,2.7,5.1,-0.1,-2.4,0.5,-1.8,7.9,3.6,5.9,-1.7,-0.3,2.0,-0.6,7.2
2021-03,4.3,2.1,-0.2,2.7,-1.4,5.7,1.5,-5.4,-4.0,1.8,-0.4,3.5,-1.1,11.4,2.1,-1.0,0.1,8.7,0.4,-2.0,2.4,-0.4,4.8,5.3,0.3,-3.0,0.2,-1.8,6.4,3.2,7.5,-2.6,-0.1,3.0,-0.2,9.3
2021-04,3.9,0.7,0.6,2.7,-3.5,-1.1,-1.9,-3.3,-4.7,1.5,0.0,5.1,-2.0,12.1,2.5,-1.4,0.4,-2.4,4.2,-5.3,4.5,-0.2,4.9,4.6,1.6,-5.8,2.1,-2.0,5.1,4.0,6.8,-4.8,0.2,3.9,-0.6,9.4
2021-05,2.4,0.4,0.6,-4.3,-2.2,6.7,-5.8,-2.5,-4.1,2.0,-0.1,8.1,-2.2,13.3,3.4,-2.4,0.7,-8.0,5.1,-2.3,5.4,-0.1,4.9,5.4,1.1,-5.2,3.6,-0.0,4.0,5.8,10.2,-2.0,-0.3,7.2,-0.7,6.6
2021-06,3.6,0.6,-0.2,-3.0,-2.6,5.1,3.7,-4.0,-3.4,2.0,-0.4,8.6,-0.4,12.7,2.9,-1.5,0.7,-19.3,1.3,-2.0,6.0,-0.2,5.1,5.2,0.3,-4.4,3.3,1.0,3.3,6.9,9.4,-3.8,1.2,6.4,-1.7,6.2
2021-07,5.5,0.4,-0.1,-1.5,-2.3,4.5,0.1,-3.6,-2.9,2.2,-0.2,10.9,-3.3,12.0,3.2,-1.2,0.7,-9.3,0.9,-1.9,6.2,-0.2,5.1,5.3,0.8,1.9,3.5,0.8,3.2,9.3,7.3,-4.2,2.9,4.9,-0.8,6.8
2021-08,7.1,-0.9,-0.1,1.7,-2.0,5.1,7.6,-2.1,-2.8,1.7,-0.1,13.7,-0.6,11.3,3.0,-1.7,0.6,10.1,2.9,-4.0,5.0,-0.1,4.7,5.5,1.6,1.2,3.2,1.3,3.6,9.7,6.4,-2.1,3.4,6.7,-1.1,8.5
2021-09,7.4,-1.7,-0.6,6.4,-1.1,5.5,-0.7,-1.4,-3.1,2.2,-0.3,14.9,0.0,12.9,3.3,-1.9,0.4,8.1,-3.3,-1.6,6.6,0.8,4.5,6.0,2.1,0.3,6.0,1.9,5.9,10.1,9.1,-1.7,3.5,6.3,-1.2,12.1
2021-10,7.4,2.3,-0.2,10.0,-0.1,5.9,1.7,-0.9,-0.8,1.3,-0.3,16.0,-0.5,14.6,3.5,-1.7,0.3,15.4,4.8,1.2,6.5,-0.5,4.5,5.7,3.1,-2.0,9.3,0.4,9.7,12.8,10.7,-1.9,3.9,3.5,-1.0,12.6
2021-11,11.3,2.4,-0.1,11.6,5.0,7.8,0.7,-0.6,-0.5,2.3,-0.0,16.7,-0.2,16.3,6.8,-2.0,0.4,30.2,6.4,2.7,6.0,-1.5,4.9,6.8,4.9,-8.1,10.6,0.4,12.0,14.6,15.6,-1.6,4.8,4.4,-1.4,10.6
2021-12,13.7,3.7,2.1,14.0,2.1,4.2,-4.9,-6.6,-0.8,1.5,0.3,17.1,-2.1,19.0,7.8,-1.8,1.0,29.0,3.9,3.7,7.3,-1.6,8.4,7.3,6.4,-5.0,11.7,2.0,14.7,18.7,17.7,0.2,5.6,1.3,-1.6,14.6
2022-01,13.6,3.4,3.3,14.9,4.7,6.5,7.5,-5.0,4.6,1.6,0.0,18.3,0.0,20.7,7.4,-0.5,2.7,27.4,0.4,2.5,5.6,-0.4,8.4,8.5,6.7,-5.0,12.2,8.8,17.5,23.8,21.1,3.2,6.1,1.5,-1.4,16.9
2022-02,13.7,6.6,4.2,15.9,1.2,15.6,3.2,-6.1,12.2,5.0,0.6,20.0,1.8,20.8,7.9,-0.3,4.4,32.0,1.1,5.2,9.8,3.8,10.9,10.7,6.7,-1.0,8.2,11.9,18.3,24.8,22.0,8.1,6.3,3.1,-0.4,19.4
2022-03,31.2,7.0,6.0,25.5,4.2,14.6,3.4,-3.0,16.0,5.6,1.6,21.1,2.3,23.8,8.4,2.4,5.1,53.7,3.0,6.7,10.0,6.5,42.1,11.2,13.0,-5.9,8.6,14.3,18.9,31.7,23.3,7.7,10.9,4.3,-0.1,21.6
2022-04,55.2,11.4,8.6,32.0,8.8,8.3,12.0,-5.6,28.5,9.1,2.8,30.7,6.3,42.0,11.3,5.1,9.7,48.0,10.2,16.7,7.5,10.5,42.6,15.8,21.9,-3.0,16.9,21.8,21.9,34.6,28.3,7.8,21.8,7.9,-0.0,34.1
2022-05,53.7,20.2,12.3,35.6,12.6,21.7,26.1,11.9,46.5,35.0,5.6,34.8,10.6,47.1,19.5,5.2,13.2,36.7,18.3,26.0,12.2,12.3,42.6,18.5,26.6,-1.5,20.9,31.3,21.3,36.5,29.9,10.8,25.0,19.1,1.2,40.9
2022-06,49.0,21.4,14.2,37.4,15.2,26.5,24.6,16.3,56.5,37.7,7.8,37.2,10.7,51.3,21.2,5.9,14.1,17.0,21.0,29.3,12.9,12.5,42.6,22.0,28.3,-5.5,21.4,33.2,21.3,37.8,33.7,12.6,25.4,27.9,1.4,41.3
2022-07,43.0,20.5,13.6,35.6,19.5,26.9,21.0,20.2,52.2,37.8,9.6,37.4,13.5,54.0,19.6,6.6,14.7,43.3,21.5,27.7,13.4,15.9,43.2,23.9,27.1,4.6,22.4,34.8,22.2,37.2,36.4,11.7,26.0,28.1,1.7,47.4
2022-08,52.9,21.6,14.1,40.6,28.5,23.7,24.0,18.9,46.6,38.7,11.3,38.0,11.2,58.1,19.2,6.7,15.9,64.6,20.2,29.5,11.6,15.4,43.2,25.4,29.8,5.9,23.1,34.4,24.7,42.6,37.4,12.1,26.6,29.0,2.8,51.7
2022-09,52.2,21.7,16.9,49.8,33.4,25.2,22.5,21.2,49.6,38.0,12.7,38.2,15.4,73.5,18.9,6.8,16.9,56.3,22.7,29.4,16.6,16.5,44.3,24.4,32.6,-0.3,23.7,36.4,28.2,49.2,41.2,13.2,27.9,28.3,2.8,46.3
2022-10,54.6,22.4,19.1,58.0,43.0,25.4,55.6,18.1,58.8,38.8,14.4,38.9,17.1,115.3,18.6,15.8,19.4,61.6,22.7,35.3,22.5,17.1,66.9,26.5,33.0,8.0,33.0,40.0,36.7,51.9,54.9,20.9,30.4,26.4,3.4,61.1
2022-11,56.0,22.2,27.5,68.2,53.8,28.4,73.0,23.5,58.9,39.7,16.2,39.5,19.6,135.9,18.7,18.4,22.3,65.0,27.8,41.8,20.1,23.7,74.1,30.5,33.9,-0.2,39.2,54.2,46.6,55.0,85.6,24.8,33.2,29.0,4.9,64.8
2022-12,56.5,23.3,37.2,88.0,67.9,27.2,83.2,12.7,57.9,38.9,17.6,40.1,22.1,117.3,20.0,21.3,23.2,79.0,31.9,44.9,23.1,24.7,74.1,33.8,34.4,5.9,42.7,56.2,55.5,58.0,106.1,25.9,37.1,27.2,12.2,83.1
2023-01,58.3,23.4,48.9,98.1,70.1,31.1,98.8,18.0,63.5,39.4,20.8,39.5,26.3,116.5,25.5,21.6,24.1,84.0,35.8,53.1,24.9,29.4,73.6,34.7,35.1,3.2,46.0,59.1,57.2,62.5,116.7,25.6,35.0,31.6,8.5,98.7
2023-02,59.6,24.2,49.9,99.1,66.8,31.2,101.4,29.6,62.4,39.2,22.2,40.0,28.7,116.5,27.3,22.5,26.8,79.5,41.4,54.7,27.9,30.4,72.1,39.8,36.2,7.1,46.7,57.8,59.3,67.1,118.2,32.5,36.0,35.0,10.1,85.5
2023-03,60.9,24.2,51.0,105.5,69.9,33.7,81.5,24.8,66.1,39.2,23.9,40.7,26.2,115.4,26.0,23.0,28.5,71.5,44.4,56.1,30.5,43.8,56.2,39.4,35.9,-2.8,48.9,57.8,59.1,73.2,120.8,33.1,38.1,38.0,10.3,65.3
2023-04,59.4,24.8,42.1,101.9,70.4,35.0,58.1,21.2,65.0,39.6,24.5,41.8,25.4,114.3,25.5,24.3,28.4,64.3,41.1,55.1,30.3,46.7,52.4,40.2,36.0,1.6,50.9,58.0,59.4,69.1,118.4,33.5,41.1,41.4,9.7,62.9
2023-05,54.2,23.8,43.3,90.7,68.9,27.4,66.8,30.4,67.3,39.7,24.9,41.8,30.5,114.9,25.9,25.0,29.0,40.9,44.6,57.0,30.0,47.3,53.0,40.3,35.4,5.9,51.0,47.9,57.3,67.8,119.1,35.1,41.5,40.2,10.7,40.4
2023-06,54.2,24.7,43.9,83.9,65.6,31.3,60.5,34.0,67.9,39.9,24.8,41.5,29.1,112.0,23.8,25.1,29.1,25.7,39.6,54.7,30.8,46.8,56.7,40.3,34.5,10.2,51.1,46.9,56.5,67.2,109.3,33.8,41.9,44.6,11.3,30.2
2023-07,50.2,25.2,44.4,82.5,65.7,31.5,55.2,35.2,68.1,40.4,25.1,41.9,33.0,101.3,26.5,24.8,28.8,21.7,39.1,54.0,31.7,47.4,64.8,40.3,34.1,15.5,49.7,48.0,56.3,72.4,96.9,35.4,42.1,45.5,11.5,27.3
2023-08,46.5,24.3,42.6,82.4,70.5,31.4,45.1,27.7,68.2,41.0,26.0,42.3,27.0,82.2,26.8,24.2,27.8,25.9,34.3,52.7,31.9,46.1,66.6,40.3,33.6,17.1,46.7,45.6,49.3,71.8,92.0,35.9,42.2,45.0,12.0,24.1
2023-09,48.8,25.5,42.8,80.5,62.9,27.9,31.7,34.6,68.6,40.2,25.2,42.5,28.3,78.6,26.4,24.3,26.8,29.2,33.4,52.6,33.0,45.0,66.6,39.8,36.3,13.7,45.2,46.0,49.5,71.5,93.0,35.3,42.7,43.7,10.5,25.1
2023-10,53.8,23.1,44.0,83.0,56.7,31.4,45.8,26.7,66.5,38.4,24.7,42.2,33.6,78.9,26.5,24.3,26.4,24.6,33.0,52.7,31.5,43.4,66.8,38.9,24.0,17.6,46.0,45.4,51.3,71.1,92.9,35.3,42.5,47.4,10.4,25.3
2023-11,54.9,25.3,39.8,87.4,58.6,31.4,28.9,22.9,67.6,39.1,24.7,42.2,29.9,78.4,28.1,24.5,25.4,34.1,34.4,52.2,31.5,43.5,67.3,38.5,23.2,14.1,44.6,45.6,52.6,71.4,95.2,32.1,42.6,49.2,10.6,28.1
2023-12,56.8,26.7,42.7,96.4,60.8,25.0,27.6,21.5,65.6,38.0,24.4,43.0,27.0,78.0,27.0,24.2,24.9,44.8,32.3,51.1,31.3,43.4,67.3,38.3,23.2,13.0,45.2,44.2,54.6,72.5,90.9,35.1,43.1,49.6,10.4,39.5
2024-01,56.7,25.9,51.0,97.4,59.6,31.6,30.4,21.6,67.6,38.5,24.2,43.3,28.2,77.9,27.7,24.3,25.9,51.8,26.1,49.1,30.8,41.7,69.1,37.3,22.9,14.9,45.9,51.2,56.2,73.3,90.4,33.5,43.1,50.4,10.2,42.0
2024-02,59.5,25.7,49.2,98.0,60.9,32.1,39.6,20.8,66.1,38.9,24.1,43.3,33.9,75.2,29.3,24.5,25.7,33.1,33.4,50.1,31.1,43.9,69.1,37.9,23.1,17.7,43.2,50.1,55.5,74.2,95.1,33.1,42.7,50.7,10.7,53.9
2024-03,60.3,25.3,50.2,94.5,59.3,32.5,31.3,13.0,66.2,38.5,24.0,43.4,33.9,72.9,29.2,24.6,25.2,25.9,30.3,50.0,31.6,44.7,69.1,38.6,24.1,14.2,43.1,50.2,52.6,74.3,90.7,34.2,42.5,50.3,10.9,54.2
2024-04,60.6,24.7,41.1,87.6,57.1,32.5,33.7,25.8,62.4,38.7,24.1,43.7,27.9,70.7,29.9,24.8,25.5,18.4,32.7,50.6,31.0,44.7,69.3,37.9,25.9,18.7,44.7,47.5,51.0,74.2,82.6,31.7,42.9,51.1,10.9,48.2
2024-05,61.7,25.3,41.8,77.3,60.3,30.6,27.5,26.2,65.7,39.3,24.1,43.6,31.1,67.6,29.9,25.1,25.1,12.6,34.1,49.0,31.4,44.2,69.3,38.2,25.5,21.6,45.4,45.6,49.6,72.7,84.8,34.9,43.1,50.8,11.1,44.7
2024-06,60.8,24.9,41.0,72.9,59.2,33.0,27.9,26.4,60.4,38.2,23.6,43.9,30.4,64.7,30.8,25.6,24.8,8.1,30.9,50.0,29.1,44.2,68.0,39.4,26.0,23.2,45.3,45.4,48.9,70.6,79.9,34.5,42.9,50.0,11.2,43.5
2024-07,60.6,23.9,42.0,75.4,60.4,33.0,28.6,27.7,59.4,39.7,23.6,43.7,31.6,71.8,30.2,25.3,25.1,3.3,32.7,48.0,30.7,44.3,68.3,35.9,26.5,29.8,43.6,45.2,48.8,70.4,66.5,33.9,43.0,52.6,11.3,51.6
2024-08,62.7,24.5,42.1,75.2,53.7,33.0,20.7,23.6,60.5,38.6,23.3,44.3,34.0,67.8,30.2,25.3,25.9,9.5,28.8,47.6,31.1,43.8,68.3,30.5,27.1,30.5,44.7,44.3,49.1,70.2,80.5,34.1,43.5,51.5,11.6,58.9
2024-09,63.7,25.1,40.7,74.9,55.1,33.0,19.2,28.3,61.9,38.7,23.1,43.8,31.3,72.4,29.6,25.3,25.3,15.1,34.7,48.0,29.2,42.7,69.8,30.0,27.8,23.7,44.8,43.8,49.9,68.9,87.4,34.9,43.7,51.0,11.3,74.7
2024-10,64.1,25.1,41.8,77.5,62.3,39.9,37.7,24.9,61.9,38.1,22.7,44.1,32.8,75.1,29.2,25.3,25.4,26.8,32.1,47.0,28.9,42.4,69.8,29.1,26.6,28.8,44.0,45.4,51.3,69.4,89.3,36.2,45.3,51.0,11.6,63.4
2024-11,64.4,25.6,39.0,83.5,62.1,39.9,69.7,24.6,60.0,38.8,22.5,44.2,31.5,96.0,29.9,25.3,26.5,33.8,34.4,47.3,29.2,44.4,70.5,28.7,27.9,27.4,47.6,50.3,53.3,70.0,152.6,35.7,46.0,50.4,11.3,76.1
2024-12,65.8,26.6,43.9,88.0,62.0,38.0,74.0,23.2,61.1,37.3,22.6,44.2,33.1,117.0,30.0,25.4,26.2,45.3,37.7,50.4,29.2,45.0,71.0,32.1,29.4,32.3,54.4,57.0,58.2,69.7,138.2,35.8,46.2,49.7,11.1,90.8
2025-01,67.4,27.6,55.5,88.7,61.7,37.1,62.6,23.5,62.6,39.1,22.8,45.0,30.4,120.2,32.6,25.5,27.0,50.4,38.1,51.5,29.9,45.4,71.5,31.9,28.9,33.8,56.4,55.3,58.5,70.0,145.3,37.5,47.5,48.3,12.7,117.2
2025-02,66.8,27.5,54.7,83.5,53.3,37.3,65.6,30.6,66.4,37.9,22.9,45.8,33.2,118.5,33.2,25.6,29.2,46.5,36.5,52.5,28.6,44.9,71.5,33.6,29.8,38.7,58.3,54.4,58.1,70.4,131.3,35.8,48.2,48.2,11.8,144.4
2025-03,85.2,27.7,56.7,93.2,57.9,34.1,91.6,33.1,67.7,37.6,23.2,46.6,31.2,118.2,32.5,25.4,31.0,53.0,42.2,54.9,28.6,46.5,69.5,33.7,32.5,35.6,62.4,54.6,57.6,69.7,147.5,36.1,58.8,49.0,12.0,147.3
2025-04,92.2,27.9,49.5,91.2,62.2,37.8,83.2,28.3,62.8,37.0,24.1,47.4,32.0,116.6,33.5,25.5,32.6,59.3,55.7,60.7,30.0,46.5,71.5,33.1,22.7,35.4,68.6,84.4,57.4,69.9,147.9,33.0,67.8,47.9,12.3,121.3
2025-05,89.4,27.3,51.4,86.8,62.1,37.6,84.0,32.5,67.8,36.5,24.4,48.2,28.4,111.1,42.4,25.8,34.1,42.4,57.8,62.0,30.8,46.2,71.5,35.1,27.0,39.8,71.4,84.4,56.3,67.5,141.3,30.3,68.8,49.4,12.2,104.6
2025-06,88.3,29.1,51.6,86.3,62.3,34.1,79.5,32.0,75.4,35.5,24.7,48.3,33.1,107.4,43.0,25.8,33.8,36.8,57.6,59.5,28.6,45.1,71.5,37.8,26.5,37.9,71.7,85.4,56.7,68.0,139.0,32.6,68.6,49.5,12.4,82.6
2025-07,83.7,29.6,49.7,88.7,69.1,33.8,67.5,36.0,81.5,36.9,25.0,48.3,31.9,102.1,43.3,25.8,34.2,33.9,58.4,60.3,28.7,45.0,71.5,39.1,26.8,42.7,71.7,86.4,57.3,69.2,144.9,37.0,69.2,49.0,12.1,76.4
2025-08,84.3,29.4,48.6,89.7,65.2,34.8,58.4,33.0,85.2,37.0,25.2,48.3,32.8,101.2,44.1,29.4,34.6,56.4,59.0,62.1,28.4,44.7,72.0,40.1,29.3,45.7,70.9,85.9,62.2,69.9,144.4,37.5,69.2,48.5,12.9,76.2
2025-09,85.4,28.0,48.9,91.5,71.2,34.8,65.2,39.3,82.7,39.7,25.1,48.3,31.9,103.7,44.4,31.3,34.2,66.8,60.1,62.3,27.2,44.7,72.0,39.8,29.4,40.9,70.9,87.5,63.4,63.0,145.3,37.7,69.5,49.0,14.2,72.5
2025-10,90.5,36.0,49.3,93.9,72.3,34.8,73.6,34.5,81.7,38.5,25.2,48.5,34.3,110.4,44.3,32.2,34.7,68.5,59.8,64.5,28.7,45.4,72.0,40.0,33.6,45.1,71.0,88.3,65.0,58.8,150.1,40.8,78.0,48.1,14.7,
2025-11,95.3,42.0,48.3,97.9,72.4,35.8,99.1,32.2,80.5,37.9,25.4,48.8,37.3,117.9,44.3,32.2,36.3,106.5,60.7,65.5,29.2,49.7,90.4,40.4,46.7,42.4,72.2,86.1,67.7,69.1,165.4,38.3,90.1,48.3,14.9,52.8
2025-12,96.6,43.8,53.3,102.0,67.0,35.8,89.7,32.0,79.1,38.8,25.8,49.0,35.3,124.5,44.9,32.3,36.7,114.3,61.6,69.0,28.6,51.7,93.7,44.1,63.5,42.3,73.8,89.8,75.1,74.0,170.3,39.0,92.1,49.6,15.0,51.0
